Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Afghanistan, Islamic Rep. of",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"178,756.00","220,013.00","246,210.00","304,926.00","345,817.00","427,495.00","517,509.00","607,227.00","711,759.00","836,222.00","1,033,590.00","1,116,830.00","1,183,040.00","1,226,570.00","1,222,920.00","1,285,460.00","1,327,690.00","1,469,600.00","1,547,290.00","1,232,858.30",...
Albania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"334,359.13","331,324.24","384,848.41","443,593.64","501,198.99","563,448.81","610,494.27","677,737.52","737,655.55","804,163.21","872,735.10","965,527.76","1,080,675.93","1,143,936.46","1,239,644.58","1,300,624.08","1,332,810.99","1,350,052.64","1,395,304.63","1,434,306.51","1,472,479.13","1,550,645.49","1,636,731.32","1,691,903.43","1,647,431.07","1,856,172.26","2,134,463.55"
Algeria,"4,600.00","5,300.00",...,...,...,...,...,...,...,...,...,...,"11,745.49","18,835.02","20,301.93","22,391.65","21,871.29","24,554.12","28,321.51","31,819.09","36,405.62","36,639.66","41,872.07","47,847.99","50,723.68","60,953.22","72,356.69","87,236.85","104,877.21","128,217.24","162,500.00","191,500.00","207,600.00","233,700.00","263,900.00","291,600.00","296,600.00","312,700.00","347,700.00","422,043.00","554,400.00","862,132.00","1,074,695.00","1,189,724.00","1,487,400.00","2,004,990.00","2,570,000.00","2,780,200.00","2,830,490.70","3,248,197.50","4,123,500.00","4,227,100.00","4,522,800.00","5,252,300.00","6,149,100.00","7,562,000.00","8,501,635.83","9,352,886.37","11,043,703.50","9,968,025.26","11,991,563.91","14,589,000.00","16,209,600.00","16,647,900.00","17,228,600.00","16,712,686.00","17,514,634.90","18,876,175.60","20,393,524.41","20,500,200.00","18,477,000.00","22,079,300.00","27,688,900.00"
"Andorra, Principality of",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,551.09","1,728.69","1,865.83","2,092.49","2,331.57","2,540.88","2,755.13","2,887.77","2,789.26","2,644.84","2,602.31","2,607.22","2,481.85","2,404.54","2,462.69","2,514.51","2,616.86","2,655.76","2,725.27","2,818.42","2,531.09","2,810.97","3,187.50"
Angola,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"665,385.00","1,328,940.00","1,967,570.00","3,222,350.00","4,209,762.00","5,006,335.00","6,643,353.00","5,577,340.74","7,701,651.48","10,500,941.84","12,224,949.83","13,195,003.55","14,323,859.00","13,950,290.85","16,549,600.00","20,262,300.00","25,627,742.12","30,330,429.40","33,063,020.24","46,696,955.73",...
Anguilla,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,76.56,96.90,116.70,146.54,183.30,207.28,213.39,227.70,256.01,283.12,284.89,301.51,333.28,369.50,395.54,405.64,418.31,425.60,460.91,542.98,618.29,765.39,959.25,957.76,763.05,722.88,784.59,756.30,760.87,840.54,892.44,864.82,767.38,865.31,"1,024.88",697.79,725.13,881.30
Antigua and Barbuda,...,...,...,...,...,...,...,...,...,...,...,...,...,4.75,7.25,6.86,8.86,10.90,13.30,15.93,18.80,23.39,30.68,43.89,64.46,99.43,175.68,209.24,237.27,294.52,354.86,399.17,443.80,491.79,562.61,650.49,784.19,910.37,"1,076.32","1,184.75","1,240.57","1,300.61","1,348.06","1,444.97","1,591.46","1,558.66","1,711.07","1,837.67","1,965.22","2,068.74","2,231.20","2,161.30","2,198.83","2,312.27","2,483.27","2,762.00","3,125.69","3,544.45","3,699.19","3,316.49","3,101.49","3,071.62","3,239.86","3,189.91","3,374.28","3,609.07","3,878.78","3,963.54","4,336.05","4,556.34","3,699.70","3,972.00",...
Argentina,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"485,115.20","582,538.20","715,904.30","896,980.20","1,149,646.10","1,247,929.30","1,661,720.90","2,179,024.10","2,637,913.80","3,348,308.50","4,579,086.40","5,954,510.90","8,228,159.60","10,660,228.50","14,744,810.70","21,558,444.10","27,209,814.10","46,346,227.40","82,436,433.70"
"Armenia, Rep. of",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"3,897.00","187,064.70","522,256.30","661,209.00","804,335.60","955,384.80","987,443.70","1,031,338.30","1,175,876.80","1,362,471.70","1,624,642.70","1,907,945.43","2,242,880.90","2,656,189.80","3,149,283.40","3,568,227.60","3,141,651.00","3,460,202.70","3,777,945.60","4,266,460.50","4,555,638.20","4,828,626.30","5,043,633.22","5,067,293.50","5,564,493.30","6,017,035.20","6,543,321.80","6,181,902.60","6,991,777.80","8,501,435.50"
"Aruba, Kingdom of the Netherlands",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"4,883.00","4,996.00","5,304.00","5,341.00","5,535.00","5,732.00","6,030.46","4,672.02","5,595.61",...
Australia,...,...,...,...,...,...,...,...,...,...,"17,317.00","17,477.00","18,555.00","20,254.00","22,242.00","23,912.00","25,585.00","28,321.00","30,898.00","34,721.00","38,605.00","42,671.00","46,780.00","55,241.00","65,973.00","77,012.00","90,441.00","100,677.00","111,097.00","127,505.00","143,846.00","164,647.00","183,880.00","199,105.00","224,870.00","249,735.00","271,722.00","305,635.00","345,693.00","388,911.00","413,659.00","416,664.00","432,310.00","455,201.00","482,668.00","512,049.00","543,132.00","573,449.00","605,089.00","637,732.00","687,197.00","730,429.00","782,561.00","830,316.00","894,720.00","964,355.00","1,039,552.00","1,133,328.00","1,236,386.00","1,263,580.00","1,366,000.00","1,468,681.00","1,515,293.00","1,568,772.00","1,613,230.00","1,638,255.00","1,699,521.00","1,802,283.00","1,895,536.00","1,993,774.00","1,972,898.00","2,189,667.00","2,451,067.00"
Austria,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"176,608.75","182,540.88","188,723.76","196,346.61","203,850.58","213,606.48","220,525.08","226,735.22","231,862.46","242,348.26","254,075.03","267,824.45","283,977.97","293,761.91","288,044.02","295,896.64","310,128.66","318,653.04","323,910.20","333,146.07","344,269.23","357,607.95","369,361.87","385,274.09","397,147.19","380,888.46","405,241.42","447,217.64"
"Azerbaijan, Rep. of",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"5,315.60","6,062.50","7,146.50","8,530.20","12,522.50","18,746.20","28,360.50","40,137.20","35,601.50","42,465.00","52,082.00","54,743.70","58,182.00","59,014.10","54,380.00","60,425.20","70,337.80","80,092.00","81,896.20","72,578.10","93,203.20","133,825.80"
"Bahamas, The",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"6,332.36","6,833.22","7,683.87","8,076.47","8,317.83","8,881.16","8,870.09","9,055.29","9,836.20","10,167.25","10,618.34","10,526.00","9,981.96","10,095.76","10,070.45","10,549.74","10,394.51","10,998.05","11,672.93","11,750.85","12,253.53","12,653.60","13,058.70","9,754.56","11,527.57","12,897.42"
"Bahrain, Kingdom of",...,...,...,...,...,...,...,...,...,...,...,...,125.18,134.69,143.46,151.08,156.90,167.50,177.11,180.51,187.05,200.97,234.54,305.55,412.56,436.59,665.04,899.34,"1,059.01","1,190.80",...,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,410.20","2,551.90","2,654.20","2,750.60","2,631.20","2,851.00","3,407.65","3,375.05","3,607.16","4,164.13","4,944.46","6,004.24","6,957.79","8,170.48","9,667.00","8,625.00","9,668.00","10,820.00","11,562.00","12,235.00","12,554.00","11,675.00","12,120.00","13,338.00","14,214.00","14,534.00","13,056.00","14,615.00",...
